lhs,rhs,lhs_len,rhs_len,lhs_key,rhs_key,strictly_decreases_shortlex_SAIR
AR,AI,2,2,"(2, (1, 3))","(2, (1, 2))",True
RA,IA,2,2,"(2, (3, 1))","(2, (2, 1))",True
AIA,AAA,3,3,"(3, (1, 2, 1))","(3, (1, 1, 1))",True
IAI,AAA,3,3,"(3, (2, 1, 2))","(3, (1, 1, 1))",True
RSA,ISA,3,3,"(3, (3, 0, 1))","(3, (2, 0, 1))",True
II,I,2,1,"(2, (2, 2))","(1, (2,))",True
IR,I,2,1,"(2, (2, 3))","(1, (2,))",True
RI,I,2,1,"(2, (3, 2))","(1, (2,))",True
RR,R,2,1,"(2, (3, 3))","(1, (3,))",True
SI,I,2,1,"(2, (0, 2))","(1, (2,))",True
SR,R,2,1,"(2, (0, 3))","(1, (3,))",True
SS,S,2,1,"(2, (0, 0))","(1, (0,))",True
AAI,AA,3,2,"(3, (1, 1, 2))","(2, (1, 1))",True
IAA,AA,3,2,"(3, (2, 1, 1))","(2, (1, 1))",True
IAS,IA,3,2,"(3, (2, 1, 0))","(2, (2, 1))",True
SAA,AA,3,2,"(3, (0, 1, 1))","(2, (1, 1))",True
AAAA,AAA,4,3,"(4, (1, 1, 1, 1))","(3, (1, 1, 1))",True
AAAS,AAA,4,3,"(4, (1, 1, 1, 0))","(3, (1, 1, 1))",True
ASAI,ASA,4,3,"(4, (1, 0, 1, 2))","(3, (1, 0, 1))",True
AASA,AA,4,2,"(4, (1, 1, 0, 1))","(2, (1, 1))",True
AISA,AI,4,2,"(4, (1, 2, 0, 1))","(2, (1, 2))",True
ASASA,ASA,5,3,"(5, (1, 0, 1, 0, 1))","(3, (1, 0, 1))",True
